名称,営業日,住所,アクセス
【インボイス対応】ＤＰＳ渋谷店 貸切×パーティー×ダーツ×飲み放題,月～日、祝日、祝前日: 18:00～翌10:00 （料理L.O. 翌9:30 ドリンクL.O. 翌9:30）,東京都渋谷区宇田川町23-11　リエムビル　B1F,JR渋谷駅ハチ公前改札口より徒歩1分！スクランブル交差点を渡ってすぐの好立地★
De Salita デサリータ 渋谷,月～日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-3-1渋谷駅前ビルB１,渋谷駅各線から徒歩1分
焼肉店ナルゲ 渋谷駅,月～土、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）日: 12:00～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）14:31～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）祝日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,東京都渋谷区道玄坂１東京都渋谷区道玄坂1丁目5-9　ザ・レンガビル2階,京王井の頭線【渋谷駅】徒歩１分/ＪＲ山手線・埼京線【渋谷駅】徒歩３分 （渋谷マークシティ隣）
牛タンと肉ずしの個室居酒屋 輝 渋谷駅前店,月～金: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日、祝前日: 13:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-25-6 渋谷パークサイト共同ビル３階,渋谷駅ハチ公口より徒歩30秒/渋谷駅のガード真下のビル3階
四季折々 渋谷肉横丁店,月～金: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）土、日、祝日、祝前日: 16:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）,東京都渋谷区宇田川町13-8　ちとせ会館2F,東京メトロ，東急渋谷駅３ａ出口より徒歩3分
TEXMEX FACTORY 渋谷公園通り店,月～金: 11:30～15:0017:00～22:30土、日、祝日、祝前日: 11:30～22:30,東京都渋谷区神南１-19-3 ハイマンテン神南ビル2F,渋谷駅のハチ公口を出て、西武デパートの方向に進み、交差点2つめを左に曲がって少し歩いた右手2階にあります。 
あくとり代官 鍋之進 渋谷,月～金、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂１－５－２　渋谷ＳＥＤＥ３Ｆ,JR渋谷駅ハチ公出口　徒歩1分／地下鉄銀座線渋谷駅　徒歩1分／東急東横線渋谷駅　徒歩1分
韓国料理 允矢家 ユヤガ,月～日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:30）,東京都渋谷区道玄坂２-26－16　GTスクエア1F,渋谷駅から徒歩５分神泉駅から414m
南国亭 渋谷一号店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区東１-26-20 東京建物B1,渋谷駅新南口から徒歩8分
串かつ酒場 ひろかつ 渋谷道玄坂店,月～木: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）金、祝前日: 15:00～翌0:30 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）土: 12:00～翌0:30 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）日、祝日: 12:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区道玄坂１－５－４　昭力ビルＢ１Ｆ,各線渋谷駅から徒歩3分
ひつじもん,月～土、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）日、祝日: 17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 21:30）,東京都渋谷区渋谷３丁目15-8 並木橋ビル 2階,渋谷駅より徒歩8分/新南口から徒歩5分/代官山から徒歩12分/恵比寿から徒歩15分
TEPPAN KITCHEN テッパンキッチン 渋谷ストリーム店,月～金: 11:00～15:00 （料理L.O. 14:30）17:00～23:00 （料理L.O. 22:00）土、日、祝日: 11:30～23:00 （料理L.O. 22:00）,東京都渋谷区渋谷３－２１－３　ストリーム３階,東京メトロ、東急渋谷駅エレベーター３２出口より徒歩約1分渋谷駅新南口からも好アクセス◎
&happy life アンドハッピーライフ,月～日、祝日、祝前日: 20:00～翌6:00 （料理L.O. 翌5:30 ドリンクL.O. 翌5:30）,東京都渋谷区道玄坂１-5-9 ザ・レンガビル４F-C,渋谷駅中央口より徒歩２分
ジョイサウンド JOYSOUND 渋谷南口駅前店,月～日: 11:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）祝日、祝前日: 11:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）,東京都渋谷区道玄坂１-3-1　渋谷駅前会館9階,JR渋谷駅　ハチ公口から徒歩2分（マークシティ沿い、パチンコ屋のビル）
渋谷 焼肉&肉寿司 まるきん食堂 渋谷並木橋店,月～金: 11:30～15:3017:00～23:00土、日、祝日: 12:00～23:00,東京都渋谷区渋谷３-15-4 アロス渋谷ビル １F,渋谷駅徒歩3分/渋谷駅から482m
アンドテーブル 渋谷別館,月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）土、祝前日: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）日、祝日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町28-1 高山ランド6F,渋谷駅徒歩3分/2名様～最大60名様まで収容可能！ソファー個室のご予約はお早めに♪
LUXURY BAR PALACE パレス 渋谷駅前店,月～金、祝前日: 17:30～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、日、祝日: 14:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
チルイン 渋谷 SHISHA LABO,月～木: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金～日、祝日、祝前日: 15:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区宇田川町31-4シノダビル6F,渋谷駅A2出口から徒歩3分
完全個室　たれ焼肉金肉屋渋谷道玄坂PART２,月～金: 18:00～23:00 （料理L.O. 22:30）土: 17:00～23:00 （料理L.O. 22:30）日、祝日: 12:00～23:00 （料理L.O. 22:30）,東京都渋谷区道玄坂２-18-6,東京メトロ，東急渋谷駅Ａ０出口より徒歩約6分/神泉駅から徒歩5分/神泉駅から273m
村さ来 渋谷246店,月～金: 16:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、祝日: 15:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷２－２２－７　,≪渋谷ヒカリエ徒歩1分≫JR山手線渋谷駅東口　徒歩約2分／東急東横線渋谷駅東口　徒歩約2分
チルイン 渋谷 宇田川町店,月～日、祝日、祝前日: 12:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区宇田川町33-12 J＋RサイドRビル3F,渋谷駅A2出口から徒歩3分
